index,bb_smiles
155,CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
156,CC(O)(CN)CN1CCOCC1
157,CC(O)(CN)c1ccsc1
158,CC(O)CCN
159,CC(O)Cn1cnc2c(N)ncnc21
160,CC(OC(C)(C)C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
161,CC(OC1CCCC1)C(=O)O
162,CC(OCC(F)(F)F)C(=O)O
163,CC(Sc1nnnn1C1CC1)C(=O)O
164,CC1(C(=O)O)CC1
165,CC1(C(=O)O)CCC1
166,CC1(C)C(C(=O)O)C1(F)F
167,CC1(C)CC(C(=O)O)CO1
168,CC1(C)CC(CCN)C(=O)N1.Cl
169,CC1(C)CC(CN)C(C)(C)O1
170,CC1(C)CCC(C(=O)O)O1
171,CC1(C)CCC1C(=O)O
172,CC1(C)CCCC1(O)CN
173,CC1(C)CCOC1CCN
174,CC1(C)COC1C(=O)O
175,CC1(C)C[C@@H]1C(=O)O
176,CC1(C)Cc2cccc(B3OC(C)(C)C(C)(C)O3)c2O1
177,CC1(C)NC(=O)N(CCCN)C1=O.Cl
178,CC1(C)OB(/C=C/c2ccc(F)c(F)c2)OC1(C)C
179,CC1(C)OB(C2=CCC(F)(F)CC2)OC1(C)C
180,CC1(C)OB(C2=CCC(O)CC2)OC1(C)C
181,CC1(C)OB(C2=CCCCC2)OC1(C)C
182,CC1(C)OB(C2=CCCOC2)OC1(C)C
183,CC1(C)OB(C2=CCNCC2)OC1(C)C
184,CC1(C)OB(C2=CCOC2)OC1(C)C
185,CC1(C)OB(C2=COCCC2)OC1(C)C
186,CC1(C)OB(C2=COCCO2)OC1(C)C
187,CC1(C)OB(C=C(c2ccccc2)C(F)(F)F)OC1(C)C
188,CC1(C)OB(C=C2CCC2)OC1(C)C
189,CC1(C)OB(C=C2CCCC2)OC1(C)C
190,CC1(C)OB(C=C2CCCCC2)OC1(C)C
191,CC1(C)OB(C=C2CCOCC2)OC1(C)C
192,CC1(C)OB(C=C2CCS(=O)(=O)CC2)OC1(C)C
193,CC1(C)OB(O)c2ccccc21
194,CC1(C)OB(c2c[nH]c3ncccc23)OC1(C)C
195,CC1(C)OB(c2cc(F)ccc2OC(F)F)OC1(C)C
196,CC1(C)OB(c2cc(O)ccc2F)OC1(C)C
197,CC1(C)OB(c2cc3ccccc3[nH]2)OC1(C)C
198,CC1(C)OB(c2cc3cccnc3s2)OC1(C)C
199,CC1(C)OB(c2cc3ccoc3cc2F)OC1(C)C
200,CC1(C)OB(c2cc3occc3cc2F)OC1(C)C
201,CC1(C)OB(c2cc[nH]c2)OC1(C)C
202,CC1(C)OB(c2ccc(-c3ccccn3)cc2)OC1(C)C
203,CC1(C)OB(c2ccc(-c3ccncc3)cc2)OC1(C)C
204,CC1(C)OB(c2ccc(C(F)(F)F)o2)OC1(C)C
205,CC1(C)OB(c2ccc(C3CC3)c(C#N)c2)OC1(C)C
206,CC1(C)OB(c2ccc(C3CCC(=O)N3)cc2)OC1(C)C
207,CC1(C)OB(c2ccc(C3OCC3(F)F)cc2)OC1(C)C
208,CC1(C)OB(c2ccc(CN3CCOCC3)s2)OC1(C)C
209,CC1(C)OB(c2ccc(Cn3ccc(C(F)(F)F)n3)cc2)OC1(C)C
210,CC1(C)OB(c2ccc(F)c(C#N)c2)OC1(C)C
211,CC1(C)OB(c2ccc(F)c3ccccc23)OC1(C)C
212,CC1(C)OB(c2ccc(F)cc2C2CC2)OC1(C)C
213,CC1(C)OB(c2ccc(N)cc2)OC1(C)C
214,CC1(C)OB(c2ccc(N3CCOCC3)nc2)OC1(C)C
215,CC1(C)OB(c2ccc(NS(C)(=O)=O)cc2)OC1(C)C
216,CC1(C)OB(c2ccc(OCC3CC3)nc2)OC1(C)C
217,CC1(C)OB(c2ccc(S(C)(=O)=O)c(C#N)c2)OC1(C)C
218,CC1(C)OB(c2ccc3[nH]c(C(F)(F)F)cc3c2)OC1(C)C
219,CC1(C)OB(c2ccc3[nH]ccc3c2)OC1(C)C
220,CC1(C)OB(c2ccc3c(c2)-c2ccccc2C3)OC1(C)C
221,CC1(C)OB(c2ccc3c(c2)C(=O)NCCO3)OC1(C)C
222,CC1(C)OB(c2ccc3c(c2)CCC(=O)N3)OC1(C)C
223,CC1(C)OB(c2ccc3c(c2)CCN3)OC1(C)C
224,CC1(C)OB(c2ccc3c(c2)CCO3)OC1(C)C
225,CC1(C)OB(c2ccc3c(c2)COC3)OC1(C)C
226,CC1(C)OB(c2ccc3c(c2)COCC(=O)N3)OC1(C)C
227,CC1(C)OB(c2ccc3c(c2)COCC3)OC1(C)C
228,CC1(C)OB(c2ccc3cc[nH]c3c2)OC1(C)C
229,CC1(C)OB(c2ccc3ccoc3c2F)OC1(C)C
230,CC1(C)OB(c2ccc3nccnc3c2)OC1(C)C
231,CC1(C)OB(c2ccc3ncnn3c2)OC1(C)C
232,CC1(C)OB(c2ccc3nncn3c2)OC1(C)C
233,CC1(C)OB(c2ccc3occc3c2)OC1(C)C
234,CC1(C)OB(c2cccc(C(F)(F)C(F)(F)F)c2)OC1(C)C
235,CC1(C)OB(c2cccc(CC#N)c2)OC1(C)C
236,CC1(C)OB(c2cccc(Cc3ccccc3)c2)OC1(C)C
237,CC1(C)OB(c2cccc(N3CCOCC3)c2)OC1(C)C
238,CC1(C)OB(c2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)OC1(C)C
239,CC1(C)OB(c2cccc(OCCn3ccnc3)c2)OC1(C)C
240,CC1(C)OB(c2cccc3[nH]ccc23)OC1(C)C
241,CC1(C)OB(c2cccc3c2CCNC3=O)OC1(C)C
242,CC1(C)OB(c2cccc3c2CCO3)OC1(C)C
243,CC1(C)OB(c2cccc3cc[nH]c23)OC1(C)C
244,CC1(C)OB(c2cccc3ccoc23)OC1(C)C
245,CC1(C)OB(c2ccccc2F)OC1(C)C
246,CC1(C)OB(c2cccnc2N2CCCC2)OC1(C)C
247,CC1(C)OB(c2ccn3nccc3c2)OC1(C)C
248,CC1(C)OB(c2ccnc(N3CCCC3)c2)OC1(C)C
249,CC1(C)OB(c2ccnc3[nH]ccc23)OC1(C)C
250,CC1(C)OB(c2ccsc2C(F)(F)F)OC1(C)C
251,CC1(C)OB(c2cnc(-c3ccccc3)s2)OC1(C)C
252,CC1(C)OB(c2cnc(NCc3ccco3)nc2)OC1(C)C
253,CC1(C)OB(c2cnc3[nH]ccc3c2)OC1(C)C
254,CC1(C)OB(c2cnc3[nH]ncc3c2)OC1(C)C
255,CC1(C)OB(c2cnc3occc3c2)OC1(C)C
256,CC1(C)OB(c2cncc(C(F)(F)F)c2)OC1(C)C
257,CC1(C)OB(c2cncc(OC(F)F)c2)OC1(C)C
258,CC1(C)OB(c2cncnc2)OC1(C)C
259,CC1(C)OB(c2cnn(C3CCCCO3)c2)OC1(C)C
260,CC1(C)OB(c2cnn(CCN3CCCC3=O)c2)OC1(C)C
261,CC1(C)OB(c2cnn3ccccc23)OC1(C)C
262,CC1(C)OB(c2cnn3cccnc23)OC1(C)C
263,CC1(C)OB(c2cnsc2)OC1(C)C
264,CC1(C)OB(c2csc(C(F)(F)F)n2)OC1(C)C
265,CC1(C)OB(c2sccc2C#N)OC1(C)C
266,CC1(C)OB(c2sccc2C2CC2)OC1(C)C
267,CC1(C)c2ccccc2-c2ccc(B(O)O)cc21
268,CC1(CC(=O)O)CC1
269,CC1(CCCCN)OCCO1
270,CC1(CN)CCC2(CC1)OCCO2
271,CC1(F)CC(C(=O)O)C1
272,CC1(F)CCN(CCN)C1.Cl.Cl
273,CC12CC(C(=O)O)(CO1)C2
274,CC12CCC(CN)(C1)OC2.Cl
275,CC1=CC2=NC(=O)CC(C)(C(=O)O)N2C=C1
276,CC1=CC=CC2=NC(=O)CC(C)(C(=O)O)N12
277,CC1=CCN(CCN)CC1.Cl.Cl
278,CC1=NN(c2ccc(C(=O)O)cc2)CC1
279,CC1CC(C)(C(=O)O)C1
280,CC1CC(CN)C(C)O1
281,CC1CC=C(B2OC(C)(C)C(C)(C)O2)CC1
282,CC1CCC(C(=O)O)CC1
283,CC1CCCC(CN)O1
284,CC1CCc2nc(CN)sc2C1
285,CC1CN(S(=O)(=O)CCN)CC(C)O1
286,CC1CN(c2cc(CN)ccn2)CCO1
287,CC1Cc2cc(CN)ccc2O1
288,CC1OCCC1C(=O)O
289,CCC#CCN
290,CCC(=O)O
291,CCC(C(=O)O)n1cncn1
292,CCC(C)(O)CCN
293,CCC(C)C(=O)O
294,CCC(C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
295,CCC(CC)(CN)OC
296,CCC(CN)Oc1ccccc1C.Cl
297,CCC1(CC)NC(=O)N(CC(=O)O)C1=O
298,CCC1=NN(Cc2ccccc2C)C(=O)C1CCN
299,CCC1COCCN1CCN.Cl.Cl
300,CCCC(=O)O
301,CCCCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
302,CCCCCC1CCC(C(=O)O)CC1
303,CCCCNC(=O)c1ccc(F)c(B(O)O)c1
304,CCCCOc1cc(B(O)O)cc(C(F)(F)F)c1
305,CCCCOc1cc(OC(F)(F)F)cc(B(O)O)c1
306,CCCCOc1ccc(B(O)O)c(F)c1
307,CCCCOc1ccc(B(O)O)c(F)c1F
308,CCCCOc1ccc(C(F)(F)F)cc1B(O)O
309,CCCCOc1ccc(F)c(B(O)O)c1
310,CCCCOc1cccc(B(O)O)c1F
311,CCCCOc1ncc(B(O)O)cc1C
312,CCCCOc1ncc(C(F)(F)F)cc1B(O)O
313,CCCNC(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1
314,CCCNC(=O)c1cc(F)cc(B(O)O)c1
315,CCCNS(=O)(=O)c1cccc(C(=O)O)c1
316,CCCOc1cc(B(O)O)cc(C(F)(F)F)c1
317,CCCOc1cc(B(O)O)ccc1OC
318,CCCOc1ccc(B(O)O)c(F)c1
319,CCCOc1ccc(B(O)O)c(F)c1F
320,CCCOc1ccc(B(O)O)cc1C(F)(F)F
321,CCCOc1ccc(C(F)(F)F)cc1B(O)O
322,CCCOc1ccc(F)c(B(O)O)c1
323,CCCOc1cccc(B(O)O)c1F
324,CCCOc1ncc(C(F)(F)F)cc1B(O)O
325,CCC[C@H]1CC[C@H](C(=O)O)CC1
326,CCCc1[nH]ncc1C(=O)O
327,CCCc1cc(C(=O)O)nn1C
328,CCCc1ccc(-c2ccc(B(O)O)c(F)c2)cc1
329,CCCc1oncc1C(=O)O
330,CCN(CC)C(=O)c1ccc(F)c(B(O)O)c1
331,CCN(CC)C(=O)c1ccccc1B(O)O
332,CCN(CC)CCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1
333,CCN(CC)S(=O)(=O)c1ccc(C)c(B(O)O)c1
334,CCN(CC)S(=O)(=O)c1ccccc1B(O)O
335,CCN(CCCN)S(C)(=O)=O
336,CCN1C(=O)C[C@H](CN)[C@H]1c1ccncc1
337,CCN1CCN(Cc2ccc(N)nc2)CC1
338,CCNS(=O)(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(C)c1
339,CCOC(=O)c1c(C)csc1N
340,CCOC(=O)c1c[nH]nc1N
341,CCOC(=O)c1cc(N)[nH]n1
342,CCOC(=O)c1ccc(O)c(N)c1
343,CCOC(=O)c1cccnc1N
344,CCOC(=O)c1cnc(N)[nH]1
345,CCOC(=O)c1cnc(N)cn1
346,CCOC(=O)c1cnc(SC)nc1N
347,CCOC(=O)c1cncnc1N
348,CCOC(=O)c1cnn(C)c1N
349,CCOC(=O)c1coc(N)n1
350,CCOC(=O)c1csc(N)n1
351,CCOC(=O)c1ncccc1N
352,CCOC(=O)c1nnc(N)o1
353,CCOC(=O)c1nonc1N
354,CCOC(=O)c1sc(N)nc1C
355,CCOC(CN)CN(C)C
356,CCOCCCN
357,CCON(C)C(=O)CN.Cl
358,CCON(CC)C(=O)CN.Cl
359,CCOc1cc(B(O)O)cc(C(F)(F)F)c1
360,CCOc1cc(C)c(B(O)O)cc1C
361,CCOc1cc(N)ccn1
362,CCOc1cc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(Cl)cc1C(=O)O
363,CCOc1cc2c(cc1CN)OC(C)C2.Cl
364,CCOc1ccc(B(O)O)c(F)c1F
365,CCOc1ccc(C(F)(F)F)cc1B(O)O
366,CCOc1ccc(C)cc1C(=O)O
367,CCOc1cccc(B(O)O)c1F
368,CCOc1ccccc1B(O)O
369,CCOc1ccnc(N)c1
370,CCS(=O)(=O)N1CC(CN)C1.Cl
371,CCS(=O)(=O)Nc1cccc(C(=O)O)c1
372,CCS(=O)(=O)c1cc(C(=O)O)c(OC)cc1NC(=O)OCC1c2ccccc2-c2ccccc21
373,CCS(=O)CCN.Cl
374,CCSC1CCC1(O)CN
375,CCSCCN.Cl
376,CCSc1ccc(C(=O)O)cn1
377,CCSc1ccc(CN)cc1
378,CCc1c(C)nn(CC(=O)O)c1C
379,CCc1cc(C(=O)O)[nH]n1
380,CCc1cc(C(=O)O)cs1
381,CCc1cc(C(=O)O)nn1C
382,CCc1cc(N)n[nH]1
383,CCc1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1C(=O)O
384,CCc1ccccc1-n1cc(C(=O)O)nn1
385,CCc1ccnc(C(=O)O)c1
386,CCc1nc(C)c(C(=O)O)o1
387,CCc1nc2ccccc2n1CCC(=O)O
388,CCc1ocnc1C(=O)O
389,CCn1c(=O)[nH]c2cc(C(=O)O)ccc21
390,CCn1c2ccccc2c2cc(B(O)O)ccc21
391,CCn1cc(B2OC(C)(C)C(C)(C)O2)c(C)n1
392,CCn1cc(C(=O)O)c(-c2cnn(C)c2)n1
393,CCn1cc(N)c(C)n1
394,CCn1cc2cc(N)ccc2n1
395,CCn1nc(C(=O)O)cc1C(F)(F)F
396,CCn1nc(C(=O)O)cc1C1CC1
397,CCn1nccc1CN
398,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](CC1CCCCC1)C(=O)O
399,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](Cc1ccc(Cl)cc1)C(=O)O
400,CN(C)C(=O)C1CCC(C(=O)O)CC1
401,CN(C)C(=O)C1CCC(CN)O1.Cl
402,CN(C)C(=O)N1CCCC(C(=O)O)C1
403,CN(C)C(=O)Nc1cccc(C(=O)O)c1
404,CN(C)C(=O)c1cccc(B(O)O)c1F
405,CN(C)C(CN)c1ccco1
406,CN(C)C1(CN)CC1
407,CN(C)C1(CN)CCSC1
408,CN(C)Cc1ccc(F)c(B2OC(C)(C)C(C)(C)O2)c1.Cl
409,CN(C)Cc1ccccc1B(O)O
410,CN(C)S(=O)(=O)Nc1cccc(B(O)O)c1
411,CN(C)c1cc(C(=O)O)ccn1
412,CN(C)c1cc(C(=O)O)nc(N(C)C)n1
413,CN(C)c1cccc(B(O)O)c1
414,CN(C)c1cccc2c(B(O)O)cccc12
415,CN(C)c1ccccc1B1OC(C)(C)C(C)(C)O1
416,CN(C)c1cccnc1CN
417,CN(C)c1nc(Cl)c(CN)s1.Cl.Cl
418,CN(C)c1ncc(B(O)O)cn1
419,CN(C)c1ncccc1CN.Cl.Cl
420,CN(CC(=O)O)C1CCS(=O)(=O)C1
421,CN(CC(F)(F)F)C(=O)CN.Cl
422,CN(CCN)C1CCOCC1
423,CN(Cc1ccco1)Cc1ccccc1CN
424,CN(c1cc(C(=O)O)cc(Cl)n1)C1CCN(C(=O)OC(C)(C)C)C1
425,CN(c1ccccc1)S(=O)(=O)c1cccc(C(=O)O)c1
426,CN(c1ncc(Br)cc1C(=O)O)C1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1
427,CN1C(=O)Cc2cc(CN)ccc21.Cl
428,CN1CC(C(=O)O)CC1=O
429,CN1CC(C(=O)O)Oc2ccccc21
430,CN1CC(CCN)CC1=O
431,CN1CC(CN)CC1=O
432,CN1CC2(CCC1CN)CC2.Cl.Cl
433,CN1CCC(C(=O)O)C1
434,CN1CCCC(C(=O)O)C1
435,CN1CCN(C(=O)CCN)CC1
436,CN1CCN(C(=O)CN)CC1
437,CN1CCN(CCN)CC1
438,CN1CCN(Cc2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CC1
439,CN1CCN(Cc2ccc(N)cc2C(F)(F)F)CC1
440,CN1CCN(Cc2cccc(N)c2)CC1
441,CN1CCN(Cc2ccccc2N)CC1
442,CN1CCN(c2ccc(B(O)O)cc2)CC1
443,CN1CCN(c2ccc(N)cc2F)CC1
444,CN1CCN(c2cccc(N)c2)CC1
445,CN1CCOCc2cc(B3OC(C)(C)C(C)(C)O3)ccc21
446,CN1CCO[C@@H](CN)[C@@H]1c1cnn(C)c1
447,CN1Cc2cc(B(O)O)ccc2C1=O
448,CNC(=O)C(O)CN.Cl
449,CNC(=O)COCCN.Cl
450,CNC(=O)c1cc(B(O)O)ccc1F
451,CNC(=O)c1cc(C(=O)O)ccn1
452,CNC(=O)c1cc(C(=O)O)n(C)n1
453,CNC(=O)c1cc(C(=O)O)nn1C
454,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1
455,CNC(=O)c1ccc(B(O)O)cc1F
456,CNC(=O)c1ccc(N)cc1F
457,CNS(=O)(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1
458,CNS(=O)(=O)c1ccc(B(O)O)cc1
459,CNS(=O)(=O)c1ccc(C(=O)O)cc1
460,CNS(=O)(=O)c1ccc(C)c(C(=O)O)c1
461,CNS(=O)(=O)c1ccc(CCC(=O)O)cc1
462,CNS(=O)(=O)c1ccc(F)c(C(=O)O)c1
463,CNS(=O)(=O)c1cccc(C(=O)O)c1
464,COC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
465,COC(=O)Cc1nc(N)sc1C
466,COC(=O)Nc1ccc(C(=O)O)cc1
467,COC(=O)c1c[nH]c(C(=O)OC)c1N
